,Gender,Age,Bike Lanes
189,Male,Old,Yes
190,Female,Old,Yes
191,Male,Old,Yes
192,Male,Old,Yes
193,Female,Old,Yes
194,Female,Old,Yes
195,Male,Old,Yes
196,Male,Old,Yes
197,Male,Old,No
198,Male,Old,Yes
199,Female,Old,Yes
200,Male,Old,Yes
201,Female,Old,No
202,Male,Old,Yes
203,Male,Old,Yes
204,Female,Old,Yes
205,Male,Old,Yes
206,Female,Old,Yes
207,Male,Old,No
208,Female,Old,Yes
209,Male,Old,Yes
210,Male,Old,Yes
211,Male,Old,No
212,Male,Old,Yes
213,Male,Old,Yes
214,Female,Old,Yes
215,Female,Old,Yes
216,Female,Old,Yes
217,Male,Old,Yes
218,Male,Old,Yes
219,Male,Old,Yes
220,Female,Old,Yes
221,Female,Old,Yes
222,Male,Old,Yes
223,Male,Old,Yes
224,Female,Old,Yes
225,Female,Old,Yes
226,Male,Old,Yes
227,Male,Old,Yes
228,Female,Old,Yes
229,Female,Old,Yes
230,Male,Old,Yes
231,Male,Old,Yes
232,Male,Old,No
233,Female,Old,Yes
234,Female,Old,Yes
235,Female,Old,Yes
236,Male,Old,Yes
237,Female,Old,Yes
238,Female,Old,No
239,Male,Old,Yes
240,Male,Old,Yes
241,Female,Old,Yes
242,Female,Old,Yes
243,Female,Old,Yes
244,Male,Old,Yes
245,Female,Old,Yes
246,Female,Old,No
247,Female,Old,Yes
248,Male,Old,No
249,Female,Old,Yes
250,Female,Old,Yes
251,Male,Old,Yes
252,Male,Old,Yes
253,Female,Old,No
254,Male,Old,No
255,Female,Old,Yes
256,Female,Old,Yes
257,Male,Old,No
258,Female,Old,Yes
259,Male,Old,Yes
260,Female,Old,No
261,Female,Old,Yes
262,Male,Old,No
263,Female,Old,Yes
264,Female,Old,No
265,Female,Old,Yes
266,Male,Old,Yes
267,Female,Old,No
268,Male,Old,Yes
269,Male,Old,Yes
270,Female,Old,Yes
271,Female,Old,Yes
272,Male,Old,Yes
273,Male,Old,Yes
274,Male,Old,No
275,Male,Old,Yes
276,Male,Old,Yes
277,Male,Old,Yes
278,Female,Old,Yes
279,Male,Old,Yes
280,Female,Old,Yes
281,Female,Old,No
282,Male,Old,Yes
283,Female,Old,Yes
284,Male,Old,Yes
285,Male,Old,Yes
286,Male,Old,No
287,Male,Old,Yes
288,Female,Old,Yes
289,Female,Old,No
290,Male,Old,Yes
291,Female,Old,Yes
292,Female,Old,Yes
293,Male,Old,Yes
294,Male,Old,Yes
295,Female,Old,Yes
296,Female,Old,Yes
297,Male,Old,Yes
298,Female,Old,Yes
299,Male,Old,Yes
300,Female,Old,Yes
301,Female,Old,No
302,Female,Old,Yes
303,Female,Old,No
304,Female,Old,Yes
305,Male,Old,Yes
306,Male,Old,No
307,Male,Old,Yes
308,Male,Old,No
309,Male,Old,Yes
310,Female,Old,Yes
311,Female,Old,Yes
312,Male,Old,Yes
313,Male,Old,Yes
314,Male,Old,Yes
315,Male,Old,Yes
316,Female,Old,Yes
317,Male,Old,Yes
318,Female,Old,Yes
319,Female,Old,Yes
320,Female,Old,Yes
321,Male,Old,Yes
322,Male,Old,Yes
323,Male,Old,Yes
324,Male,Old,Yes
325,Male,Old,Yes
326,Male,Old,Yes
327,Female,Old,Yes
328,Female,Old,Yes
329,Female,Old,No
330,Female,Old,Yes
331,Female,Old,Yes
332,Male,Old,Yes
333,Male,Old,Yes
334,Female,Old,Yes
335,Female,Old,Yes
336,Female,Old,Yes
337,Female,Old,Yes
338,Female,Old,Yes
339,Male,Old,Yes
340,Female,Old,Yes
341,Male,Old,Yes
342,Female,Old,Yes
343,Female,Old,No
344,Male,Old,Yes
345,Female,Old,Yes
346,Female,Old,Yes
347,Female,Old,Yes
348,Female,Old,Yes
349,Male,Old,No
350,Female,Old,Yes
351,Female,Old,No
352,Male,Old,No
353,Female,Old,Yes
354,Male,Old,Yes
355,Male,Old,Yes
356,Male,Old,Yes
357,Male,Old,Yes
358,Male,Old,Yes
359,Female,Old,Yes
360,Male,Old,Yes
361,Male,Old,Yes
362,Female,Old,Yes
363,Male,Old,Yes
364,Male,Old,Yes
365,Male,Old,Yes
366,Male,Old,Yes
367,Male,Old,No
368,Male,Old,Yes
369,Female,Old,No
370,Male,Old,Yes
371,Male,Old,Yes
372,Male,Old,No
373,Female,Old,Yes
374,Female,Old,Yes
375,Male,Old,Yes
376,Male,Old,No
377,Female,Old,Yes
378,Male,Old,Yes
379,Male,Old,Yes
380,Female,Old,Yes
381,Female,Old,Yes
382,Female,Old,Yes
383,Male,Old,No
384,Female,Old,Yes
385,Female,Old,Yes
386,Male,Old,Yes
387,Male,Old,No
388,Male,Old,Yes
389,Female,Old,Yes
390,Male,Old,Yes
391,Male,Old,Yes
392,Male,Old,Yes
393,Female,Old,Yes
394,Male,Old,Yes
395,Male,Old,Yes
396,Male,Old,Yes
397,Female,Old,Yes
398,Female,Old,Yes
399,Male,Old,Yes
400,Female,Old,No
401,Male,Old,Yes
402,Male,Old,Yes
403,Male,Old,Yes
404,Male,Old,Yes
405,Female,Old,Yes
406,Male,Old,Yes
407,Female,Old,Yes
408,Female,Old,Yes
409,Female,Old,Yes
410,Male,Old,Yes
411,Male,Old,Yes
412,Female,Old,Yes
413,Male,Old,No
414,Female,Old,No
415,Female,Old,Yes
416,Female,Old,Yes
417,Female,Old,Yes
418,Female,Old,No
419,Female,Old,Yes
420,Male,Old,Yes
421,Male,Old,Yes
422,Male,Old,Yes
423,Female,Old,Yes
424,Male,Old,Yes
425,Male,Old,Yes
426,Female,Old,Yes
427,Male,Old,Yes
428,Female,Old,Yes
429,Male,Old,Yes
430,Female,Old,Yes
431,Male,Old,Yes
432,Female,Old,No
433,Male,Old,Yes
434,Male,Old,Yes
435,Male,Old,Yes
436,Female,Old,No
437,Female,Old,Yes
438,Male,Old,Yes
439,Male,Old,Yes
440,Male,Old,Yes
441,Male,Old,Yes
442,Female,Old,No
443,Male,Old,Yes
444,Female,Old,No
445,Male,Old,Yes
446,Female,Old,No
447,Female,Old,Yes
448,Male,Old,Yes
449,Male,Old,Yes
450,Female,Old,Yes
451,Male,Old,Yes
452,Male,Old,No
453,Female,Old,Yes
454,Female,Old,Yes
455,Male,Old,No
456,Male,Old,No
457,Male,Old,No
458,Female,Old,Yes
459,Female,Old,Yes
460,Male,Old,Yes
461,Female,Old,Yes
462,Male,Old,Yes
463,Male,Old,Yes
464,Female,Old,No
465,Female,Old,Yes
466,Male,Old,Yes
467,Female,Old,Yes
468,Male,Old,Yes
469,Male,Old,Yes
470,Female,Old,Yes
471,Male,Old,Yes
472,Female,Old,Yes
473,Female,Old,Yes
474,Female,Old,Yes
475,Female,Old,Yes
476,Female,Old,Yes
477,Female,Old,Yes
478,Female,Old,No
479,Male,Old,Yes
480,Male,Old,Yes
481,Female,Old,Yes
482,Female,Old,Yes
483,Female,Old,Yes
484,Female,Old,Yes
485,Male,Old,Yes
486,Female,Old,No
487,Male,Old,Yes
488,Male,Old,Yes
489,Male,Old,Yes
490,Male,Old,Yes
491,Female,Old,Yes
492,Male,Old,Yes
493,Male,Old,Yes
494,Female,Old,Yes
495,Female,Old,No
496,Female,Old,No
497,Male,Old,Yes
498,Female,Old,Yes
499,Female,Old,Yes
500,Male,Old,Yes
501,Female,Old,Yes
502,Female,Old,Yes
503,Male,Old,Yes
504,Male,Old,Yes
505,Male,Old,Yes
506,Female,Old,No
507,Female,Old,Yes
508,Male,Old,Yes
509,Male,Old,No
510,Female,Old,Yes
511,Female,Old,No
512,Male,Old,Yes
513,Female,Old,No
514,Male,Old,Yes
515,Male,Old,Yes
516,Male,Old,Yes
517,Female,Old,Yes
518,Female,Old,Yes
519,Female,Old,No
520,Male,Old,No
521,Male,Old,Yes
522,Male,Old,Yes
523,Female,Old,Yes
524,Female,Old,Yes
525,Male,Old,Yes
526,Male,Old,Yes
527,Male,Old,Yes
528,Female,Old,Yes
529,Female,Old,Yes
530,Female,Old,Yes
531,Female,Old,No
532,Female,Old,Yes
533,Male,Old,Yes
534,Female,Old,Yes
535,Male,Old,Yes
536,Female,Old,Yes
537,Male,Old,Yes
538,Male,Old,Yes
539,Male,Old,Yes
540,Male,Old,Yes
541,Male,Old,Yes
542,Male,Old,Yes
543,Female,Old,Yes
544,Male,Old,Yes
545,Male,Old,Yes
546,Female,Old,No
547,Female,Old,Yes
548,Male,Old,Yes
549,Female,Old,Yes
550,Male,Old,Yes
551,Female,Old,Yes
552,Female,Old,Yes
553,Male,Old,Yes
554,Male,Old,Yes
555,Male,Old,No
556,Male,Old,Yes
557,Male,Old,Yes
558,Male,Old,Yes
559,Female,Old,Yes
560,Male,Old,Yes
561,Male,Old,Yes
562,Male,Old,Yes
563,Male,Old,Yes
564,Female,Old,No
565,Female,Old,Yes
566,Female,Old,No
567,Male,Old,Yes
568,Male,Old,No
569,Male,Old,Yes
570,Female,Old,Yes
571,Female,Old,Yes
572,Male,Old,Yes
573,Female,Old,Yes
574,Female,Old,Yes
575,Female,Old,Yes
576,Female,Old,Yes
577,Female,Old,No
578,Female,Old,Yes
579,Male,Old,Yes
580,Female,Old,Yes
581,Female,Old,Yes
582,Female,Old,Yes
583,Male,Old,Yes
584,Male,Old,Yes
585,Male,Old,Yes
586,Female,Old,Yes
587,Male,Old,No
588,Female,Old,No
589,Male,Old,No
590,Female,Old,No
591,Male,Old,Yes
592,Male,Old,Yes
593,Female,Old,Yes
594,Female,Old,Yes
595,Female,Old,Yes
596,Male,Old,Yes
597,Male,Old,Yes
598,Female,Old,Yes
599,Female,Old,Yes
600,Female,Old,No
601,Female,Old,Yes
602,Male,Old,Yes
603,Male,Old,Yes
604,Female,Old,Yes
605,Female,Old,Yes
606,Female,Old,Yes
607,Male,Old,Yes
608,Male,Old,No
609,Female,Old,Yes
610,Male,Old,Yes
611,Female,Old,Yes
612,Female,Old,No
613,Male,Old,Yes
614,Male,Old,Yes
615,Female,Old,Yes
616,Male,Old,Yes
617,Female,Old,Yes
618,Female,Old,Yes
619,Female,Old,Yes
620,Male,Old,Yes
621,Female,Old,Yes
622,Female,Old,Yes
623,Male,Old,Yes
624,Male,Old,Yes
625,Male,Old,Yes
626,Female,Old,Yes
627,Female,Old,Yes
628,Female,Old,Yes
629,Male,Old,No
630,Male,Old,Yes
631,Male,Old,Yes
632,Male,Old,Yes
633,Female,Old,Yes
634,Female,Old,Yes
635,Female,Old,Yes
636,Female,Old,Yes
637,Male,Old,Yes
638,Male,Old,No
639,Female,Old,Yes
640,Male,Old,Yes
641,Female,Old,Yes
642,Female,Old,Yes
643,Male,Old,No
644,Male,Old,Yes
645,Male,Old,Yes
646,Male,Old,Yes
647,Female,Old,No
648,Male,Old,Yes
649,Female,Old,No
650,Female,Old,Yes
651,Male,Old,Yes
652,Male,Old,Yes
653,Male,Old,Yes
654,Female,Old,Yes
655,Female,Old,Yes
656,Male,Old,Yes
657,Male,Old,Yes
658,Male,Old,Yes
659,Female,Old,Yes
660,Male,Old,Yes
661,Male,Old,Yes
662,Male,Old,Yes
663,Female,Old,No
664,Male,Old,Yes
665,Male,Old,Yes
666,Female,Old,Yes
667,Male,Old,Yes
668,Female,Old,Yes
669,Male,Old,Yes
670,Male,Old,Yes
671,Female,Old,No
672,Female,Old,Yes
673,Female,Old,Yes
674,Female,Old,Yes
675,Male,Old,Yes
676,Female,Old,Yes
677,Male,Old,No
678,Female,Old,No
679,Male,Old,Yes
680,Male,Old,Yes
681,Female,Old,Yes
682,Male,Old,Yes
683,Male,Old,Yes
684,Male,Old,No
685,Female,Old,Yes
686,Female,Old,No
687,Male,Old,Yes
688,Male,Old,Yes
689,Male,Old,Yes
690,Male,Old,Yes
691,Male,Old,Yes
692,Female,Old,Yes
693,Male,Old,Yes
694,Male,Old,Yes
695,Male,Old,Yes
696,Female,Old,Yes
697,Male,Old,Yes
698,Male,Old,Yes
699,Female,Old,Yes
700,Male,Old,Yes
701,Female,Old,Yes
702,Female,Old,No
703,Male,Old,Yes
704,Female,Old,Yes
705,Male,Old,Yes
706,Female,Old,Yes
707,Female,Old,Yes
708,Male,Old,Yes
709,Female,Old,Yes
710,Female,Old,No
711,Male,Old,Yes
712,Female,Old,Yes
713,Female,Old,Yes
714,Female,Old,Yes
715,Male,Old,Yes
716,Male,Old,Yes
717,Female,Old,No
718,Male,Old,Yes
719,Male,Old,Yes
720,Male,Old,Yes
721,Male,Old,Yes
722,Male,Old,Yes
723,Male,Old,Yes
724,Female,Old,Yes
725,Male,Old,Yes
726,Male,Old,Yes
727,Female,Old,No
728,Female,Old,Yes
729,Male,Old,Yes
730,Male,Old,Yes
731,Female,Old,Yes
732,Female,Old,Yes
733,Female,Old,Yes
734,Male,Old,Yes
735,Male,Old,Yes
736,Female,Old,Yes
737,Male,Old,Yes
738,Male,Old,Yes
739,Female,Old,Yes
740,Female,Old,Yes
741,Male,Old,Yes
742,Male,Old,No
743,Female,Old,Yes
744,Female,Old,No
745,Female,Old,Yes
746,Female,Old,Yes
747,Male,Old,Yes
748,Male,Old,Yes
749,Male,Old,Yes
750,Male,Old,Yes
751,Female,Old,No
752,Male,Old,Yes
753,Male,Old,Yes
754,Male,Old,Yes
755,Male,Old,Yes
756,Male,Old,Yes
757,Male,Old,Yes
758,Female,Old,Yes
759,Female,Old,Yes
760,Female,Old,Yes
761,Male,Old,Yes
762,Male,Old,Yes
763,Male,Old,Yes
764,Female,Old,No
765,Female,Old,Yes
766,Male,Old,Yes
767,Female,Old,No
768,Male,Old,Yes
769,Male,Old,Yes
770,Male,Old,Yes
771,Female,Old,Yes
772,Female,Old,Yes
773,Male,Old,Yes
774,Male,Old,Yes
775,Female,Old,Yes
776,Male,Old,Yes
777,Male,Old,Yes
778,Male,Old,Yes
779,Female,Old,Yes
780,Female,Old,Yes
781,Male,Old,Yes
782,Male,Old,No
783,Female,Old,Yes
784,Male,Old,Yes
785,Female,Old,Yes
786,Female,Old,Yes
787,Male,Old,Yes
788,Female,Old,Yes
789,Female,Old,No
790,Male,Old,Yes
791,Male,Old,Yes
792,Male,Old,Yes
793,Female,Old,Yes
794,Female,Old,Yes
795,Female,Old,No
796,Male,Old,Yes
797,Male,Old,Yes
798,Female,Old,Yes
799,Female,Old,Yes
800,Male,Old,Yes
801,Male,Old,Yes
802,Male,Old,Yes
803,Female,Old,No
804,Female,Old,Yes
805,Female,Old,Yes
806,Male,Old,Yes
807,Male,Old,No
808,Female,Old,Yes
809,Male,Old,Yes
810,Male,Old,Yes
811,Female,Old,Yes
812,Female,Old,Yes
813,Male,Old,No
814,Male,Old,Yes
815,Female,Old,Yes
816,Male,Old,Yes
817,Female,Old,Yes
818,Male,Old,Yes
819,Male,Old,Yes
820,Male,Old,Yes
821,Male,Old,No
822,Female,Old,Yes
823,Male,Old,Yes
824,Male,Old,Yes
825,Male,Old,Yes
826,Male,Old,Yes
827,Female,Old,No
828,Female,Old,Yes
829,Female,Old,Yes
830,Male,Old,Yes
831,Male,Old,Yes
832,Male,Old,Yes
833,Female,Old,Yes
834,Male,Old,Yes
835,Female,Old,Yes
836,Female,Old,Yes
837,Male,Old,Yes
838,Female,Old,Yes
839,Female,Old,No
840,Female,Old,Yes
841,Male,Old,Yes
842,Male,Old,Yes
843,Male,Old,Yes
844,Male,Old,Yes
845,Female,Old,Yes
846,Female,Old,Yes
847,Female,Old,Yes
848,Female,Old,Yes
849,Female,Old,Yes
850,Female,Old,Yes
851,Female,Old,No
852,Female,Old,Yes
853,Female,Old,Yes
854,Female,Old,Yes
855,Male,Old,No
856,Male,Old,Yes
857,Female,Old,Yes
858,Female,Old,Yes
859,Male,Old,Yes
860,Male,Old,Yes
861,Female,Old,Yes
862,Male,Old,Yes
863,Female,Old,Yes
864,Female,Old,Yes
865,Female,Old,Yes
866,Male,Old,No
867,Male,Old,Yes
868,Male,Old,Yes
869,Male,Old,Yes
870,Male,Old,Yes
871,Male,Old,Yes
872,Female,Old,Yes
873,Female,Old,Yes
874,Male,Old,Yes
875,Male,Old,Yes
876,Female,Old,Yes
877,Female,Old,Yes
878,Male,Old,Yes
879,Male,Old,No
880,Male,Old,Yes
881,Male,Old,Yes
882,Male,Old,No
883,Female,Old,No
884,Female,Old,Yes
885,Female,Old,Yes
886,Female,Old,No
887,Female,Old,No
888,Male,Old,Yes
889,Female,Old,Yes
890,Female,Old,No
891,Male,Old,Yes
892,Male,Old,Yes
893,Female,Old,Yes
894,Female,Old,Yes
895,Female,Old,Yes
896,Female,Old,Yes
897,Male,Old,Yes
898,Male,Old,Yes
899,Female,Old,Yes
900,Male,Old,Yes
901,Female,Old,No
902,Female,Old,Yes
903,Female,Old,Yes
904,Male,Old,Yes
905,Male,Old,Yes
906,Female,Old,Yes
907,Female,Old,Yes
908,Male,Old,Yes
909,Female,Old,No
910,Female,Old,Yes
911,Female,Old,Yes
912,Female,Old,Yes
913,Female,Old,Yes
914,Male,Old,Yes
915,Male,Old,Yes
916,Female,Old,Yes
917,Female,Old,Yes
918,Male,Old,Yes
919,Female,Old,Yes
920,Female,Old,Yes
921,Male,Old,Yes
922,Female,Old,Yes
923,Male,Old,No
924,Male,Old,Yes
925,Female,Old,Yes
926,Male,Old,Yes
927,Male,Old,Yes
928,Female,Old,Yes
929,Male,Old,Yes
930,Male,Old,Yes
931,Female,Old,Yes
932,Female,Old,Yes
933,Male,Old,Yes
934,Female,Old,Yes
935,Female,Old,Yes
936,Male,Old,No
937,Male,Old,Yes
938,Female,Old,Yes
939,Female,Old,Yes
940,Female,Old,Yes
941,Female,Old,Yes
942,Female,Old,No
943,Male,Old,Yes
944,Male,Old,Yes
945,Male,Old,Yes
946,Female,Old,Yes
947,Male,Old,Yes
948,Female,Old,No
949,Female,Old,Yes
950,Male,Old,Yes
951,Male,Old,No
952,Female,Old,No
953,Male,Old,Yes
954,Female,Old,Yes
955,Female,Old,Yes
956,Female,Old,Yes
957,Male,Old,Yes
958,Female,Old,Yes
959,Female,Old,Yes
960,Male,Old,Yes
961,Female,Old,Yes
962,Female,Old,Yes
963,Male,Old,Yes
964,Female,Old,Yes
965,Female,Old,Yes
966,Male,Old,Yes
967,Male,Old,Yes
968,Male,Old,Yes
969,Female,Old,Yes
970,Female,Old,No
971,Male,Old,Yes
972,Female,Old,Yes
973,Male,Old,No
974,Male,Old,Yes
975,Male,Old,Yes
976,Male,Old,Yes
977,Female,Old,Yes
978,Female,Old,Yes
979,Female,Old,Yes
980,Female,Old,Yes
981,Male,Old,Yes
982,Female,Old,No
983,Female,Old,No
984,Female,Old,Yes
985,Male,Old,Yes
986,Female,Old,Yes
987,Male,Old,Yes
988,Male,Old,Yes
989,Female,Old,Yes
990,Male,Old,Yes
991,Male,Old,Yes
992,Male,Old,Yes
993,Female,Old,No
994,Female,Old,Yes
995,Female,Old,Yes
996,Female,Old,Yes
997,Male,Old,Yes
998,Female,Old,No
999,Male,Old,Yes
1000,Male,Old,Yes
1001,Female,Old,Yes
1002,Male,Old,Yes
1003,Male,Old,Yes
1004,Female,Old,Yes
1005,Male,Old,Yes
1006,Male,Old,Yes
1007,Male,Old,Yes
1008,Male,Old,No
1009,Male,Old,No
1010,Male,Old,Yes
1011,Female,Old,Yes
1012,Male,Old,No
1013,Male,Old,Yes
1014,Male,Old,No
1015,Female,Old,Yes
1016,Male,Old,Yes
1017,Male,Old,Yes
1018,Male,Old,Yes
1019,Female,Old,No
1020,Male,Old,Yes
1021,Male,Old,Yes
1022,Male,Old,Yes
1023,Female,Old,Yes
1024,Female,Old,No
1025,Female,Old,Yes
1026,Female,Old,Yes
1027,Male,Old,Yes
1028,Female,Old,Yes
1029,Female,Old,Yes
1030,Male,Old,Yes
1031,Male,Old,Yes
1032,Female,Old,Yes
1033,Male,Old,Yes
1034,Female,Old,Yes
1035,Male,Old,Yes
1036,Female,Old,Yes
1037,Male,Old,Yes
1038,Male,Old,Yes
1039,Female,Old,Yes
1040,Female,Old,No
1041,Male,Old,Yes
1042,Male,Old,Yes
1043,Male,Old,Yes
1044,Male,Old,Yes
1045,Male,Old,Yes
1046,Male,Old,Yes
1047,Female,Old,Yes
1048,Female,Old,Yes
1049,Female,Old,Yes
1050,Male,Old,Yes
1051,Male,Old,No
1052,Male,Old,Yes
1053,Female,Old,Yes
1054,Male,Old,Yes
1055,Female,Old,Yes
1056,Male,Old,Yes
1057,Male,Old,Yes
1058,Female,Old,Yes
1059,Male,Old,Yes
1060,Male,Old,Yes
1061,Female,Old,No
1062,Male,Old,Yes
1063,Male,Old,Yes
1064,Male,Old,Yes
1065,Male,Old,Yes
1066,Male,Old,Yes
1067,Female,Old,Yes
1068,Male,Old,Yes
1069,Female,Old,Yes
1070,Female,Old,Yes
1071,Male,Old,Yes
1072,Female,Old,No
1073,Female,Old,Yes
1074,Male,Old,Yes
1075,Male,Old,No
1076,Female,Old,Yes
1077,Male,Old,Yes
1078,Female,Old,Yes
1079,Female,Old,Yes
1080,Male,Old,Yes
1081,Female,Old,No
1082,Female,Old,Yes
1083,Female,Old,Yes
1084,Female,Old,Yes
1085,Male,Old,Yes
1086,Female,Old,Yes
1087,Female,Old,Yes
1088,Female,Old,Yes
1089,Male,Old,Yes
1090,Female,Old,Yes
1091,Female,Old,Yes
1092,Male,Old,No
1093,Male,Old,Yes
1094,Female,Old,Yes
1095,Male,Old,No
1096,Male,Old,Yes
1097,Female,Old,No
1098,Female,Old,Yes
1099,Male,Old,Yes
1100,Male,Old,Yes
1101,Female,Old,Yes
1102,Female,Old,Yes
1103,Male,Old,Yes
1104,Male,Old,Yes
1105,Male,Old,Yes
1106,Female,Old,Yes
1107,Male,Old,Yes
1108,Female,Old,Yes
1109,Male,Old,Yes
1110,Male,Old,Yes
1111,Male,Old,Yes
1112,Female,Old,Yes
1113,Male,Old,Yes
1114,Male,Old,Yes
1115,Female,Old,Yes
1116,Male,Old,Yes
1117,Female,Old,No
1118,Female,Old,Yes
1119,Male,Old,Yes
1120,Male,Old,Yes
1121,Male,Old,Yes
1122,Male,Old,Yes
1123,Female,Old,Yes
1124,Female,Old,Yes
1125,Male,Old,Yes
1126,Female,Old,No
1127,Male,Old,Yes
1128,Male,Old,Yes
1129,Male,Old,Yes
1130,Male,Old,Yes
1131,Male,Old,Yes
1132,Female,Old,Yes
1133,Female,Old,Yes
1134,Male,Old,Yes
1135,Female,Old,No
1136,Female,Old,Yes
1137,Male,Old,No
1138,Male,Old,Yes
1139,Male,Old,Yes
1140,Female,Old,No
1141,Male,Old,No
1142,Male,Old,Yes
1143,Female,Old,Yes
1144,Female,Old,No
1145,Female,Old,No
1146,Male,Old,No
1147,Female,Old,Yes
1148,Male,Old,Yes
1149,Male,Old,No
1150,Female,Old,Yes
1151,Male,Old,Yes
1152,Male,Old,Yes
1153,Female,Old,Yes
1154,Female,Old,Yes
1155,Female,Old,No
1156,Female,Old,Yes
1157,Female,Old,Yes
1158,Female,Old,Yes
1159,Female,Old,No
1160,Female,Old,Yes
1161,Male,Old,Yes
1162,Male,Old,Yes
1163,Male,Old,No
1164,Female,Old,Yes
1165,Male,Old,Yes
1166,Female,Old,Yes
1167,Male,Old,Yes
1168,Female,Old,Yes
1169,Male,Old,Yes
1170,Female,Old,Yes
1171,Female,Old,Yes
1172,Female,Old,Yes
1173,Female,Old,Yes
1174,Female,Old,No
1175,Male,Old,Yes
1176,Male,Old,No
1177,Male,Old,No
1178,Female,Old,Yes
